target_pkg,confuser_pkgs
2captcha-python,
2to3,
a-bigelow.cdk-eventbridge-partner-processors,
a2wsgi,awsgi;m2wsgi
a9x-webstatistics,
aaargh,aaargs;yaargh
aadict,adict;addict;atdict;yadict;audict
abacusai,
abcli,arcli;abclf;bcli;acli;labcli;xbcli;bacli;aicli;fbcli;ebcli;aocli;tbcli;cbcli;sbcli;alcli;bbcli;abcai;ancli;ajcli;akcli;agcli;accli;obcli;atcli;abci;nbcli
ably,aby;abby;able;tably;aly;ablk;abfy;abxy
abnf,gbnf;abf;ebnf;tbnf;rbnf;abfn;kbnf;bnf;abna
about-time,about
abqpy,abupy;abq;abcpy;abspy;abqcy;abipy;amqpy;ab-py;aiqpy
absl-py,py
abstra,abstar
abstract-ai,abstract-api;ai;abstract
abstract-singleton,abstract;singleton
abstract-solcatcher,abstract
acachecontrol,cachecontrol
accelerate,
access-parser,access
access,iaccess;amcess;accessi
AccessControl,access-control
accessible-pygments,pygments
accumulation-tree,
ace-tools,acd-tools;tools;ace
ach,fch;ah;achn;mach;acp;a2h;acd;sch;cch;ahc;zach;acr;aih;acf;pch;awh;tach;acb;acl;wch;aah;4ch;acq;arh;acs;acg;aich;each;aca;ac;bach;acc;ch;aph;ech;acnh;arch;aco;rch;bch;ace;yach;aci;lch;abh;ahh
acid-xblock,
acme,acie;acte;acmepy;acml;acmen;came;acmd;aime;acre;mcme;aqme;ace;ame
acoustics,acousticspy
acquire,
Acquisition,
acres,aces;acris;apres;acre;acros;ares
acryl-datahub-airflow-plugin,
acryl-datahub-classify,acryl-datahub
acryl-datahub,datahub
acryl-PyHive,
acryl-sqlglot,sqlglot
actfast,
actions-toolkit,actions;toolkit
ada-url,url
Adafruit-Blinka,
adafruit-circuitpython-busdevice,
adafruit-circuitpython-connectionmanager,
adafruit-circuitpython-requests,
adafruit-circuitpython-typing,
Adafruit-PlatformDetect,
Adafruit-PureIO,
adagio,dagio;adagios
adal,adax;adval;amal;adul;anal;agal;acal;adab;adao;alal;adap;pdal;hadal;mdal;adas;adcl;adl;dal;aval;daal;gdal;adala;adtl;avdal;adam
adam-atan2-pytorch,
adbc-driver-manager,
adbc-driver-postgresql,
adbc-driver-sqlite,
adbutils,anbutils;adb-utils;adbutil;xdbutils;abdutils;idbutils;adutils;abutils;advutils;adsutils
add-trailing-comma,
addict,addit;ddict;adict;addicty;atdict;audict;aadict
adjust-precision-for-schema,
adjustText,
adlfs,dlfs
adrf,adr;adre;adrv;adf;arf;adrt;sdrf;gdrf
ads,ado;adr;as;adas;adbs;ods;wads;als;azs;adns;adb;lds;tads;aks;adhs;ans;adis;adl;adz;vds;fds;nads;aids;adspy;sds;aos;ad3;a2s;adf;acs;afs;mds;aws;adsk;asd;rads;ady;adw;gds;a9s;das;ams;aps;dds;ade;adso;adsb;aas;iads;adg;adk;nds;ahds;vads;ad;kds;ands;adc;adys;abs;aes;xds;ass;avs;adds;adm;ds;uds;eds;mads
adtk,datk;adtl;artk;antk;attk;aztk;actk;aitk;ndtk;aetk;adsk;altk;astk;dtk;atk;bdtk;vadtk;fadtk;amtk;aftk;adk;ldtk;admk;vdtk;aptk;avtk
advent-of-code,adventofcode;advent-of-code-py
adversarial-robustness-toolbox,
advertools,
advocate,
Adyen,adyeno
aenum,renum;yaenum;abnum;enum;avnum;xenum;venum;eenum;anum
aeppl,aepp;seppl
aerich,erich;aerics
aerospike,
aesara,aksara
affine,
affinegap,
agate-dbf,agate;dbf
agate-excel,agate;excel
agate-sql,agate;sql
agate,apate;abate;gate;agat;hgate;agave;tgate
agent360,
aggdraw,
agilicus,
ahocorapy,
ahocorasick-rs,rs
AHRS,aars;shrs;chrs;ahds;aprs;hrs
ai-edge-litert-nightly,ai-edge-litert
ai21-tokenizer,tokenizer;ai21
ai21,ai2d;ai71;ai2e
aider-chat,aider;chat
AIKIF,aikit
ailever,filever
aim-ui,aimgui;ui;aim
aim,bim;ami;aism;ain;oim;aid;aih;laim;ai3;lim;aim3;asm;aij;a3m;avm;agm;faim;aiu;cim;aiml;pim;anm;aie;mim;atm;zaim;abm;jim;aixm;aime;aia;ait;wim;ai;daim;tim;aiv;aic;dim;axm;axim;ai6;afm;aimd;aima;naim;nim;air;aimm;kim;amm;apm;aam;eim;aix;aiwm;adm;ail;ai8;anim;aum;rim
aimmo,aimm;ammo
aimrocks,
aio-pika,pika
aioapns,aioaprs
aioblescan,
aioboto3,
aiobotocore,aio-botocore
aiocache,aiocached;aiocacher;aiomcache
aiochannel,
aiocoap,
aiocometd,aiocometd-ng
aioconsole,aiconsole
aiocontextvars,
aiocron,aiorcon
aiocsv,aiocvv;aiocv;iocsv;aiocse
aiodataloader,aiodataloader-ng
aiodebug,aidebug
aiodns,
aiodocker,aiodockerpy
aiodogstatsd,
aiodynamo,
aioesphomeapi,
aioextensions,
aiofile,aifile;giofile;biofile;aiofiles
aiofiles,aiofile
aioftp,aiootp;aiostp;aiosftp
aiogoogle,
aiogram,biogram;aiodgram;aiogram2;airgram;apiogram
aiohappyeyeballs,
aiohttp-client-cache,
aiohttp-cors,aiohttp;cors
aiohttp-fast-url-dispatcher,
aiohttp-jinja2,jinja2;aiohttp
aiohttp-middlewares,aiohttp
aiohttp-retry,aiohttp;retry
aiohttp-session,aiohttp
aiohttp-socks,aiohttp;socks;aiohttp-socksx
aiohttp-sse-client,aiohttp-sse-client2;aiohttp-sse;aiohttpclient
aiohttp-zlib-ng,zlib-ng
aiohttp,aiohttpx;aihttp;aio.http
aioice,aioice2
aioimaplib,
aioitertools,
aiojobs,
aiokafka,
aiolimiter,
aiomcache,atomcache;aiocache
aiometer,
aiomoex,aiomoe;aiomox
aiomqtt,aio-mqtt
aiomultiprocess,
aiomysql,
aioodbc,
aiooss2,aiooss
aiooui,aioqui
aiopg,airpg;aiopgx;aiotg;aiop;aiopy;aiopm;aiopb;aiop4;riopg;aiops;aiopo
aioprometheus,
aioquic,aioqui
aioredis,aioredis3
aioredlock,aioredlock-py
aioregistry,bioregistry
aioresponses,
aioretry,aiorentry;kaioretry
aiormq,aioreq;aiozmq;aiorq;aiorsmq;aiomq;aiorm
aiortc,aiortm;aiortc2;aiorpc
aiorun,aorun;aioruz;aimrun;airrun
aiorwlock,
aioshutil,
aiosignal,ai-signal;aiosignald;biosignal
aiosmtpd,
aiosmtplib,aiosmpplib
aiosql,aiosqs;anosql;aiomql;aiogql
aiosqlite,aiosqlite3;aisqlite
aiostream,iostream;aiosteam;aio.stream;ciostream
aiotask-context,context
aiotieba,
aiotools,aiatools;ai-tools;biotools;aitools;airtools;aotools;aiotoolz;iotools;miotools
aiounittest,
aiozipkin,
airbyte-api,api;airbyte
airbyte-cdk,cdk;airbyte
airbyte-protocol-models-dataclasses,airbyte-protocol-models
airbyte-protocol-models-pdv2,airbyte-protocol-models
airbyte-protocol-models,
airbyte-source-salesforce,source-salesforce
airbyte,
airflow-clickhouse-plugin,
airflow-code-editor,
airflow-dbt-python,airflow-dbt;dbt-python
airflow-dbt,airflow-dbt-python;dbt;airflow
airflow-exporter,exporter;airflow
airflow-mcd,mcd;airflow
airflow-provider-fivetran-async,airflow-provider-fivetran
airflow-provider-fivetran,
airflow-provider-great-expectations,
airflow-provider-hightouch,
airportsdata,
airtable-python-wrapper,python-wrapper;airtable-python
airtable,airtable-python
ais-dom,dom
aiven-client,client
ajsonrpc,xjsonrpc;jsonrpc;bjsonrpc
akeyless,keyless
akshare,akshara
alabaster,yalabaster;alabester;allabaster
alacorder,
Alarmageddon,
albucore,
albumentations,
alchemy-mock,mock;alchemy
ale-py,amle-py;ale-uy;alex-py;ole-py;py
alembic-autogenerate-enums,
alembic-postgresql-enum,
alembic-utils,utils;alembic
alembic,alembicz
aleph-alpha-client,alephclient
alexapy,alex-py
algokit-utils,utils;algokit
algoliasearch,
alibabacloud-adb20211201,
alibabacloud-cdn20180510,
alibabacloud-credentials,credentials
alibabacloud-dingtalk,dingtalk
alibabacloud-endpoint-util,
alibabacloud-gateway-spi,
alibabacloud-openapi-util,
alibabacloud-tea-openapi,alibabacloud-tea
alibabacloud-tea-util,alibabacloud-tea
alibabacloud-tea-xml,alibabacloud-tea
alibabacloud-tea,tea
alibi-detect,alibi;detect
alien,alie;align;aline;algen;alienpy
alive-progress,progress
aliyun-python-sdk-alidns,aliyun-python-sdk
aliyun-python-sdk-alimt,aliyun-python-sdk
aliyun-python-sdk-cdn,aliyun-python-sdk-scdn;aliyun-python-sdk;aliyun-python-sdk-dcdn;aliyun-python-sdk-cbn
aliyun-python-sdk-cms,aliyun-python-sdk-cams;aliyun-python-sdk;aliyun-python-sdk-kms;aliyun-python-sdk-oms;aliyun-python-sdk-cs;aliyun-python-sdk-cas;aliyun-python-sdk-ims;aliyun-python-sdk-ccs
aliyun-python-sdk-core-v3,aliyun-python-sdk-core
aliyun-python-sdk-core,aliyun-python-sdk
aliyun-python-sdk-cs,aliyun-python-sdk-ecs;aliyun-python-sdk;aliyun-python-sdk-cf;aliyun-python-sdk-csb;aliyun-python-sdk-cr;aliyun-python-sdk-vcs;aliyun-python-sdk-cas;aliyun-python-sdk-vs;aliyun-python-sdk-ocs;aliyun-python-sdk-acs;aliyun-python-sdk-cms;aliyun-python-sdk-ccs
aliyun-python-sdk-ecs,aliyun-python-sdk-acs;aliyun-python-sdk-ess;aliyun-python-sdk-vcs;aliyun-python-sdk-ccs;aliyun-python-sdk-eci;aliyun-python-sdk;aliyun-python-sdk-ecd;aliyun-python-sdk-ens;aliyun-python-sdk-ocs;aliyun-python-sdk-ebs;aliyun-python-sdk-cs;aliyun-python-sdk-eas
aliyun-python-sdk-kms,aliyun-python-sdk;aliyun-python-sdk-oms;aliyun-python-sdk-cms;aliyun-python-sdk-ims
aliyun-python-sdk-r-kvstore,
aliyun-python-sdk-rds,aliyun-python-sdk;aliyun-python-sdk-drds;aliyun-python-sdk-ros;aliyun-python-sdk-rdc;aliyun-python-sdk-dds
aliyun-python-sdk-slb,aliyun-python-sdk;aliyun-python-sdk-alb;aliyun-python-sdk-nlb;aliyun-python-sdk-sls
aliyun-python-sdk-vpc,aliyun-python-sdk-hpc;aliyun-python-sdk
aliyundrive-webdav,webdav
allennlp-pvt-nightly,
allennlp,
allpairspy,
allure-behave,behave;allure2-behave
allure-combine,combine
allure-pytest,pytest
allure-python-commons,python-commons
allure-robotframework,robotframework
alpaca-py,py;alpaca
alpaca-trade-api,
alphafold-colabfold,alphafold;colabfold
alphashape,alphashapy
alpinepkgs,
alt-profanity-check,profanity-check
altair,alnair
altgraph,allgraph
always-updates,updates
amalgam-lang,amalgam;lang
amaryllis,
amazon-appflow-custom-connector-sdk,
