confuser_pkg,target_pkg,signals
botox,boto3,Character Replaced: x
boto3r,boto3,Character Added: r, Mutated package with prefix/suffix generated: boto3r;Close Letters on QWERTY Keyboard, added to end: boto3 => r
easy-boto3,boto3, Mutated package with prefix/suffix generated: easy-boto3
boto3form,boto3, Mutated package with prefix/suffix generated: boto3form
botoy,boto3,Character Replaced: y
xoto3,boto3,Character Replaced: x
mock-boto3,boto3, Mutated package with prefix/suffix generated: mock-boto3
boto3-type,boto3, Mutated package with prefix/suffix generated: boto3-type
bulkboto3,boto3, Mutated package with prefix/suffix generated: bulkboto3
booto3,boto3,Character Added: o;Character Added: o;Containing Character Added: o;Containing Character Added: o;Letter Duplicated: o
txboto3,boto3, Mutated package with prefix/suffix generated: txboto3
aboto3,boto3,Character Added: a, Mutated package with prefix/suffix generated: aboto3
botor,boto3,Character Replaced: r;Close Letters on QWERTY Keyboard: 3 => r
botoa,boto3,Character Replaced: a
boto4,boto3,Character Replaced: 4;Close Letters on QWERTY Keyboard: 3 => 4
boto3auth,boto3, Mutated package with prefix/suffix generated: boto3auth
bearboto3,boto3, Mutated package with prefix/suffix generated: bearboto3
botoo3,boto3,Character Added: o;Character Added: o;Containing Character Added: o;Containing Character Added: o;Letter Duplicated: o
oboto3,boto3,Character Added: o;Containing Character Added: o, Mutated package with prefix/suffix generated: oboto3
voto3,boto3,Character Replaced: v;Close Letters on QWERTY Keyboard: b => v
boto2,boto3,Character Replaced: 2;Close Letters on QWERTY Keyboard: 3 => 2
botok,boto3,Character Replaced: k
botocoree,botocore,Character Added: e;Character Added: e;Containing Character Added: e;Containing Character Added: e;Letter Duplicated: e;Letter Duplicated and Replaced
botocove,botocore,Character Replaced: v
botocote,botocore,Character Replaced: t;Close Letters on QWERTY Keyboard: r => t
kotocore,botocore,Character Replaced: k
simpleurllib3,urllib3, Mutated package with prefix/suffix generated: simpleurllib3
urelib3,urllib3,Character Replaced: e
urllib33,urllib3,Character Added: 3;Character Added: 3;Containing Character Added: 3;Containing Character Added: 3;Letter Duplicated: 3;Letter Duplicated and Replaced, Mutated package with prefix/suffix generated: urllib33;Suffix Added: 3
urllib3-fixed,urllib3, Mutated package with prefix/suffix generated: urllib3-fixed
urllib-3,urllib3,Character Added: -
urolib3,urllib3,Character Replaced: o;Close Letters on QWERTY Keyboard: l => o
urllib5,urllib3,Character Replaced: 5
urklib3,urllib3,Character Replaced: k;Close Letters on QWERTY Keyboard: l => k
setuptools-test,setuptools, Mutated package with prefix/suffix generated: setuptools-test
setuptools-metadata,setuptools, Mutated package with prefix/suffix generated: setuptools-metadata
setuptools-ci,setuptools, Mutated package with prefix/suffix generated: setuptools-ci
setuptools-wrapper,setuptools, Mutated package with prefix/suffix generated: setuptools-wrapper
setuptools-pkg,setuptools, Mutated package with prefix/suffix generated: setuptools-pkg
setuptools-proto,setuptools, Mutated package with prefix/suffix generated: setuptools-proto
setuptools-node,setuptools, Mutated package with prefix/suffix generated: setuptools-node
setuptools-docker,setuptools, Mutated package with prefix/suffix generated: setuptools-docker
